iter	MultiClass
0	1.027247501
1	0.9641920667
2	0.9136158827
3	0.8722175989
4	0.8410147564
5	0.8123477888
6	0.7873152403
7	0.7636009905
8	0.7406718091
9	0.7159663793
10	0.6924667286
11	0.6792488204
12	0.6644254171
13	0.6453930229
14	0.6304593861
15	0.617843292
16	0.6115421174
17	0.6006408345
18	0.5899918013
19	0.5790571594
20	0.5698640133
21	0.5669333059
22	0.5576957248
23	0.5463393725
24	0.5390942146
25	0.532584834
26	0.5260670506
27	0.5215262438
28	0.5192762714
29	0.5125219284
30	0.5077603671
31	0.5031034105
32	0.4996189783
33	0.4942954896
34	0.4881236969
35	0.483569062
36	0.4791738085
37	0.4737386307
38	0.4700321681
39	0.4655435384
40	0.4600452805
41	0.4563562794
42	0.4494482269
43	0.444095395
44	0.4389679992
45	0.4381615244
46	0.4364455084
47	0.4340727314
48	0.4307904936
49	0.4304627259
50	0.427135712551	0.4271090731552	0.42520516085553	0.432864016554	0.4173910316
555	0.4232484065556	0.4204520081557	0.4180295878558	0.4142413191559	0.4099417586060	0.4069480181
61	0.4040109796262	0.401041492663	0.3980088142664	0.396526926
65	0.3934481041
66	0.3780665869
67	0.3757496028
68	0.3728427415
69	0.368425511
70	0.3664278036
71	0.3634058478
72	0.3597649578
73	0.3575315129
74	0.3557781015
75	0.3539996822
76	0.3524551917
77	0.3479801459
78	0.3445768314
79	0.3417938686
80	0.3396921308
81	0.3373589986
82	0.3351461895
83	0.3315305692
84	0.3284530079
85	0.326703327
86	0.3251354895
87	0.3222340298
88	0.320382448
89	0.318591641
90	0.3162347275
91	0.3144106709
92	0.3129953268
93	0.309941014
94	0.3087152503
95	0.3054707397
96	0.3029737302
97	0.3010856703
98	0.2990517254
99	0.2956399335
100	0.2938252256
101	0.2919064697
102	0.2899136977
103	0.2876861963
104	0.2864339604
105	0.2839867859
106	0.2817686602
107	0.2802767337
108	0.2786141187
109	0.2767702884
110	0.2751751391
111	0.2732040688
112	0.2712840022
113	0.2703456455
114	0.2681025234
115	0.2659624005
116	0.2648118018
117	0.2632197995
118	0.2613859262
119	0.2591104603
120	0.2576205215
121	0.255706931
122	0.2539553513
123	0.2522892817
124	0.251650085
125	0.2500714586
126	0.2488058817
127	0.2475532387
128	0.2462788406
129	0.2452046287
130	0.2433655707
131	0.2423240135
132	0.2409392069
133	0.2399352598
134	0.2386832947
135	0.2380276137
136	0.2372716657
137	0.2360952778
138	0.2348683342
139	0.233716502
140	0.2323482562
141	0.2315473655
142	0.2306808695
143	0.2295223007
144	0.2281060135
145	0.227136635
146	0.225581604
147	0.2247417322
148	0.2229272699
149	0.2217732392
150	0.2207312745
151	0.2187414022
152	0.217978724
153	0.217010777
154	0.2162908146
155	0.2153796514
156	0.21441544
157	0.2131911665
158	0.2123661767
159	0.2118585229
160	0.210589755
161	0.2095458152
162	0.208598283
163	0.2071912178
164	0.2063465401
165	0.2053822765
166	0.2045257027
167	0.2031541825
168	0.2022801907
169	0.2011922839
170	0.1998577951
171	0.1992065512
172	0.1987761361
173	0.1978861754
174	0.196972293
175	0.196177323
176	0.1952784445
177	0.1945269885
178	0.1937442566
179	0.1923884703
180	0.1911890614
181	0.1906002073
182	0.1899281067
183	0.1890996097
184	0.1882087543
185	0.1875877952
186	0.1869593459
187	0.186352369
188	0.1857220357
189	0.1848133441
190	0.1844024118
191	0.1837805435
192	0.183557382
193	0.1829398055
194	0.1823082512
195	0.1818413811
196	0.1812904546
197	0.180766319
198	0.1801052852
199	0.1794924073
200	0.1790631954
201	0.1778900984
202	0.1773455812
203	0.1768800904
204	0.1762243032
205	0.1757406222
206	0.174976708
207	0.1742359999
208	0.1735887863
209	0.1732110714
210	0.1724394658
211	0.1714472161
212	0.1707029852
213	0.1702422017
214	0.1696202726
215	0.1692701171
216	0.1687706479
217	0.1678513204
218	0.1677137052
219	0.1672360776
220	0.1668589223
221	0.1662407329
222	0.1657707088
223	0.165379141
224	0.1645337691
225	0.1640754182
226	0.1634966152
227	0.1629809855
228	0.1625337749
229	0.1622118603
230	0.1619126053
231	0.1612681083
232	0.1605662664
233	0.1600532453
234	0.1595484314
235	0.1590643919
236	0.1583599283
237	0.157826612
238	0.1574939869
239	0.1568620645
240	0.1563182554
241	0.1558668255
242	0.1552858202
243	0.1544637233
244	0.1541928544
245	0.1534413493
246	0.1529197261
247	0.1527028238
248	0.1521371999
249	0.1517400426
250	0.1514427937
251	0.150983575
252	0.1506491482
253	0.1502228243
254	0.1497935421
255	0.1489149672
256	0.1484037916
257	0.1479861022
258	0.1474254675
259	0.1470680549
260	0.1462474822
261	0.1457288747
262	0.1450800172
263	0.1444977133
264	0.14406644
265	0.1436149354
266	0.1431147481
267	0.1426858985
268	0.1423630919
269	0.1418996505
270	0.1417243255
271	0.1412389606
272	0.1408597859
273	0.1401923186
274	0.1398757847
275	0.1394729095
276	0.1391303682
277	0.1386707843
278	0.1384000625
279	0.1380740884
280	0.1375597552
281	0.1373013625
282	0.1366711833
283	0.1363947882
284	0.1360932173
285	0.1358709915
286	0.135500715
287	0.1349808515
288	0.1347337004
289	0.1344016942
290	0.1340041027
291	0.1334278399
292	0.1330688987
293	0.1327567312
294	0.1324033821
295	0.1321123688
296	0.1317017414
297	0.1313528981
298	0.131217712
299	0.1310099814
	0.1226885123
